window_start,asset,direction,min_ask,min_ask_time,max_ask,max_ask_time,first_below_04,last_below_04,first_back_above_045,retry_count
"2026/01/17 02:00","ETH","Up","0.12","2026/01/17 02:49:42","0.64","2026/01/17 02:45:44","2026/01/17 02:41:10","2026/01/17 02:54:59","2026/01/17 02:42:17","0"
"2026/01/17 02:00","ETH","Down","0.37","2026/01/17 02:45:44","0.89","2026/01/17 02:49:42","2026/01/17 02:35:05","2026/01/17 02:46:36","2026/01/17 02:35:43","0"
"2026/01/17 02:00","SOL","Up","0.37","2026/01/17 02:24:19","0.98","2026/01/17 02:45:39","2026/01/17 02:24:06","2026/01/17 02:24:37","2026/01/17 02:25:46","0"
"2026/01/17 02:00","SOL","Down","0.04","2026/01/17 02:45:39","0.64","2026/01/17 02:24:16","2026/01/17 02:27:47","2026/01/17 02:54:59","2026/01/17 02:36:14","0"
"2026/01/17 02:00","BTC","Up","0.18","2026/01/17 02:49:42","0.81","2026/01/17 02:43:02","2026/01/17 02:49:09","2026/01/17 02:52:48","2026/01/17 02:49:14","0"
"2026/01/17 02:00","BTC","Down","0.2","2026/01/17 02:43:02","0.84","2026/01/17 02:49:42","2026/01/17 02:25:32","2026/01/17 02:54:55","2026/01/17 02:48:35","0"
"2026/01/17 02:00","XRP","Up","0.1","2026/01/17 02:49:55","0.64","2026/01/17 02:45:46","2026/01/17 02:24:35","2026/01/17 02:54:59","2026/01/17 02:24:39","0"
"2026/01/17 02:00","XRP","Down","0.37","2026/01/17 02:45:46","0.91","2026/01/17 02:49:55","2026/01/17 02:26:22","2026/01/17 02:46:32","2026/01/17 02:26:54","0"
